Namespace(data_path='CIFAR10/', train_batch_size=128, test_batch_size=100, epochs=50, optimizer='adam', learning_rate=0.001, momentum=0.9, weight_decay=0.0005, save=False, print_summary=False, no_training=False)

Running on  CUDA 

Files already downloaded and verified
Files already downloaded and verified


Printing Model Summary...


Training...


Epoch: 1 ;	Train Loss: 1.37809044 ;	Train Accuracy: 49.454 ;	Test Loss: 1.14398462 ;	Test Accuracy: 58.490 ;
Epoch: 2 ;	Train Loss: 0.97211207 ;	Train Accuracy: 65.350 ;	Test Loss: 1.07291408 ;	Test Accuracy: 62.770 ;
Epoch: 3 ;	Train Loss: 0.80748406 ;	Train Accuracy: 71.380 ;	Test Loss: 0.79769231 ;	Test Accuracy: 72.500 ;
Epoch: 4 ;	Train Loss: 0.69296624 ;	Train Accuracy: 75.870 ;	Test Loss: 0.82589630 ;	Test Accuracy: 71.330 ;
Epoch: 5 ;	Train Loss: 0.62290934 ;	Train Accuracy: 78.430 ;	Test Loss: 0.88347515 ;	Test Accuracy: 71.950 ;
Epoch: 6 ;	Train Loss: 0.56758521 ;	Train Accuracy: 80.492 ;	Test Loss: 0.71010311 ;	Test Accuracy: 76.450 ;
Epoch: 7 ;	Train Loss: 0.52372527 ;	Train Accuracy: 81.984 ;	Test Loss: 0.55012870 ;	Test Accuracy: 81.500 ;
Epoch: 8 ;	Train Loss: 0.48927571 ;	Train Accuracy: 83.464 ;	Test Loss: 0.54143017 ;	Test Accuracy: 81.840 ;
Epoch: 9 ;	Train Loss: 0.46321297 ;	Train Accuracy: 84.184 ;	Test Loss: 0.63518688 ;	Test Accuracy: 79.040 ;
Epoch: 10 ;	Train Loss: 0.43696779 ;	Train Accuracy: 84.952 ;	Test Loss: 0.49131956 ;	Test Accuracy: 83.690 ;
Epoch: 11 ;	Train Loss: 0.42067528 ;	Train Accuracy: 85.604 ;	Test Loss: 0.54994024 ;	Test Accuracy: 81.630 ;
Epoch: 12 ;	Train Loss: 0.40160893 ;	Train Accuracy: 86.296 ;	Test Loss: 0.51876255 ;	Test Accuracy: 83.260 ;
Epoch: 13 ;	Train Loss: 0.39017316 ;	Train Accuracy: 86.756 ;	Test Loss: 0.49074711 ;	Test Accuracy: 83.730 ;
Epoch: 14 ;	Train Loss: 0.37330210 ;	Train Accuracy: 87.274 ;	Test Loss: 0.56227377 ;	Test Accuracy: 81.890 ;
Epoch: 15 ;	Train Loss: 0.36828731 ;	Train Accuracy: 87.342 ;	Test Loss: 0.48608697 ;	Test Accuracy: 84.290 ;
